JayDaGxD,RT @KingJames: U bum @StephenCurry30 already said he ain't going! So therefore ain't no invite. Going to White House was a great honor unti…,620211
JDrizzle29,RT @KingJames: U bum @StephenCurry30 already said he ain't going! So therefore ain't no invite. Going to White House was a great honor unti…,620211
The__RAD,RT @KingJames: U bum @StephenCurry30 already said he ain't going! So therefore ain't no invite. Going to White House was a great honor unti…,620209
WhaTheHect,RT @KingJames: U bum @StephenCurry30 already said he ain't going! So therefore ain't no invite. Going to White House was a great honor unti…,620208
JudithGustman9,"RT @TheGrefgYT: 📱🔥 SORTEO de un SAMSUNG GALAXY NOTE 9 🔥📱

Para participar no os voy a marear mucho:
- RT a este tweet
- Suscribirse a mi ca…",417184
AimeeCa39957037,RT @ChrisEvans: Officially wrapped on Avengers 4. It was an emotional day to say the least. Playing this role over the last 8 years has bee…,348120
cieloAmi1,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240525
meyodmin_,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240522
Fah_tanyarat77,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240522
KhnhVn27396485,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240520
taekookshohoho,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240519
Julieta97543462,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240515
AngelicaLaurea5,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240512
karlalaardilla,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240506
myyouth62438753,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240504
IvethSaldaa2,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240504
bts130613_jk,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240503
2243_bts,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240503
wuvsss_,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240503
BurgosChamorro,"RT @AppleMusic: LEGENDS!
Listen to #MAP_OF_THE_SOUL_PERSONA from @BTS_twt.
https://t.co/F5EXJJkm3D",240502
